FANCA:gene_hugo;None:biological_process;GeneToBiologicalProcess
FANCA:gene_hugo;DNA repair:biological_process;GeneToBiologicalProcess
FANCA:gene_hugo;male meiotic nuclear division:biological_process;GeneToBiologicalProcess
FANCA:gene_hugo;male gonad development:biological_process;GeneToBiologicalProcess
FANCA:gene_hugo;female gonad development:biological_process;GeneToBiologicalProcess
FANCA:gene_hugo;interstrand cross-link repair:biological_process;GeneToBiologicalProcess
FANCA:gene_hugo;regulation of inflammatory response:biological_process;GeneToBiologicalProcess
FANCA:gene_hugo;protein-containing complex assembly:biological_process;GeneToBiologicalProcess
FANCA:gene_hugo;regulation of germ cell proliferation:biological_process;GeneToBiologicalProcess
FANCA:gene_hugo;regulation of CD40 signaling pathway:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;None:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;microglial cell activation:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;adaptive immune response:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;chromatin remodeling:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;transcription by RNA polymerase II:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;protein phosphorylation:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;apoptotic process:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;activation of cysteine-type endopeptidase activity involved in apoptotic process:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;immune response:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;signal transduction:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;enzyme-linked receptor protein signaling pathway:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;G protein-coupled receptor signaling pathway:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of cytosolic calcium ion concentration:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;cell surface receptor signaling pathway via JAK-STAT:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;tyrosine phosphorylation of STAT protein:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;mesoderm development:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;negative regulation of cell population proliferation:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;intrinsic apoptotic signaling pathway in response to oxidative stress:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;negative regulation of cardiac muscle cell apoptotic process:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of cell-substrate adhesion:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;response to amine:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;peptidyl-tyrosine phosphorylation:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;cytokine-mediated signaling pathway:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;negative regulation of cell-cell adhesion:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;actin filament polymerization:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;cell differentiation:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;erythrocyte differentiation:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of cell migration:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;axon regeneration:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;mineralocorticoid receptor signaling pathway:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of insulin secretion:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;response to lipopolysaccharide:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of type II interferon production:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of interleukin-1 beta production:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of interleukin-17 production:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of tumor necrosis factor production:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of natural killer cell proliferation:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;response to hydroperoxide:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;tumor necrosis factor-mediated signaling pathway:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;symbiont-induced defense-related programmed cell death:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;response to tumor necrosis factor:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;post-embryonic hemopoiesis:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;intracellular signal transduction:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;interleukin-12-mediated signaling pathway:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;cellular response to interleukin-3:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;interleukin-5-mediated signaling pathway:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;collagen-activated signaling pathway:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;interleukin-3-mediated signaling pathway:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;granulocyte-macrophage colony-stimulating factor signaling pathway:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of T cell proliferation:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of protein import into nucleus:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of tyrosine phosphorylation of STAT protein:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;activation of Janus kinase activity:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;negative regulation of DNA binding:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of MAPK cascade:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;negative regulation of neuron apoptotic process:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;post-translational protein modification:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of MHC class II biosynthetic process:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;regulation of nitric oxide biosynthetic process:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of nitric oxide biosynthetic process:biological_process;GeneToBiologicalProcess
JAK2:gene_hugo;positive regulation of cell differentiation:biological_process;GeneToBiologicalProcess
